UniprotID	Q9NZU1
Accession	Q9NZU1;A0A6E1VY70;Q8WVA2
EntryName	FLRT1_HUMAN
ProteinName	Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1)
GeneName	FLRT1 UNQ752/PRO1483
Length	674
Function	Plays a role in fibroblast growth factor-mediated signaling cascades that lead to the activation of MAP kinases. Promotes neurite outgrowth via FGFR1-mediated activation of downstream MAP kinases. Promotes an increase both in neurite number and in neurite length. May play a role in cell-cell adhesion and cell guidance via its interaction with ADGRL1/LPHN1 and ADGRL3.
Subcellular Location	Cell membrane; Endoplasmic reticulum membrane; Cytoplasmic vesicle membrane; Cytoplasm; Perinuclear region; Cell junction; Focal adhesion; Secreted; Cell projection; Neuron projection; Cell junction
Disorder	0.0047,0.0064,0.0057,0.0050,0.0057,0.0047,0.0044,0.0054,0.0071,0.0069,0.0062,0.0073,0.0070,0.0096,0.0099,0.0066,0.0107,0.0160,0.0194,0.0174,0.0327,0.0281,0.0306,0.0555,0.0929,0.0581,0.0646,0.0676,0.0349,0.0334,0.0543,0.0909,0.0835,0.0506,0.0506,0.0473,0.0518,0.0531,0.0433,0.0719,0.0780,0.0985,0.1852,0.1852,0.1476,0.1528,0.2575,0.2575,0.2575,0.2715,0.2715,0.2715,0.2884,0.2988,0.2918,0.2988,0.3149,0.3704,0.3392,0.2783,0.2988,0.4017,0.3774,0.2849,0.2680,0.3053,0.2988,0.2292,0.3249,0.3392,0.4409,0.3631,0.2645,0.1823,0.1092,0.1206,0.1251,0.1251,0.1583,0.0985,0.1731,0.1583,0.0780,0.0909,0.0870,0.0967,0.0555,0.0704,0.1028,0.0929,0.0817,0.0734,0.1206,0.1229,0.1791,0.1759,0.2645,0.2541,0.2541,0.2575,0.2752,0.2645,0.2503,0.2752,0.2129,0.3019,0.3019,0.3840,0.2715,0.2503,0.2503,0.2470,0.2884,0.1942,0.2002,0.2164,0.3053,0.2094,0.2064,0.1275,0.1251,0.1852,0.2034,0.1969,0.2193,0.2470,0.2575,0.1852,0.1852,0.1731,0.2129,0.2328,0.3321,0.2715,0.2399,0.2951,0.2884,0.2918,0.3740,0.3840,0.3840,0.3774,0.2849,0.1914,0.1092,0.0985,0.0985,0.0948,0.1501,0.1583,0.1702,0.1554,0.1424,0.0749,0.1092,0.1914,0.2164,0.1373,0.1643,0.1702,0.1671,0.1643,0.1791,0.2680,0.2680,0.3740,0.3740,0.3840,0.3948,0.3948,0.3840,0.3667,0.3667,0.3740,0.3774,0.3774,0.2988,0.3019,0.3599,0.2094,0.2064,0.2034,0.2034,0.2064,0.1914,0.1942,0.1942,0.2715,0.1852,0.1251,0.0704,0.0749,0.1349,0.1501,0.0888,0.0985,0.0662,0.1184,0.1229,0.1399,0.1501,0.1251,0.1298,0.2034,0.1942,0.1048,0.1583,0.1583,0.0985,0.1671,0.2399,0.2328,0.2328,0.2436,0.1501,0.2193,0.2164,0.1823,0.1643,0.1671,0.1643,0.1823,0.1823,0.1501,0.1731,0.1969,0.2292,0.2470,0.1702,0.2849,0.2680,0.2224,0.3117,0.2193,0.2193,0.3087,0.2292,0.2258,0.2094,0.2224,0.2129,0.2292,0.2849,0.2193,0.2436,0.2129,0.1115,0.2064,0.1229,0.2002,0.1759,0.1184,0.1184,0.1184,0.1583,0.1476,0.1554,0.1583,0.2541,0.3356,0.2470,0.2503,0.1643,0.1881,0.2918,0.3087,0.3182,0.3321,0.3053,0.3983,0.3053,0.3321,0.4149,0.4441,0.3631,0.2918,0.2988,0.2918,0.2951,0.2783,0.2884,0.2918,0.2575,0.3460,0.2752,0.1914,0.1206,0.1137,0.1823,0.1881,0.2164,0.1969,0.0967,0.0555,0.0555,0.0531,0.1092,0.0676,0.0531,0.0473,0.0300,0.0281,0.0494,0.0313,0.0209,0.0327,0.0443,0.0734,0.0605,0.0463,0.0300,0.0178,0.0341,0.0443,0.0799,0.0780,0.0835,0.0618,0.0581,0.0765,0.1323,0.2193,0.2328,0.2258,0.2680,0.3286,0.3249,0.3182,0.2884,0.2292,0.2609,0.3215,0.2918,0.2817,0.3356,0.3494,0.3117,0.3948,0.4476,0.4507,0.3321,0.3494,0.3215,0.3053,0.3321,0.4017,0.3983,0.3983,0.3774,0.3774,0.4766,0.4476,0.4149,0.4801,0.4766,0.4831,0.4685,0.4801,0.4685,0.4619,0.5577,0.6620,0.6322,0.5901,0.5951,0.5577,0.5807,0.5951,0.5951,0.6661,0.5951,0.4619,0.4940,0.4369,0.4619,0.4330,0.4256,0.4256,0.4831,0.4864,0.3948,0.3983,0.3494,0.3807,0.4149,0.4087,0.4149,0.3053,0.3019,0.2064,0.2399,0.2817,0.3566,0.3529,0.4330,0.4441,0.4725,0.4476,0.4409,0.4119,0.3426,0.3948,0.3149,0.3983,0.3182,0.3053,0.2849,0.2094,0.2884,0.2541,0.3631,0.3321,0.2951,0.3286,0.2541,0.2575,0.1731,0.1702,0.1702,0.1759,0.1229,0.2034,0.2034,0.2752,0.2680,0.2258,0.2399,0.1942,0.2575,0.1759,0.1373,0.1349,0.0870,0.1323,0.1323,0.1881,0.2129,0.2645,0.2094,0.2328,0.2258,0.2064,0.1823,0.2292,0.2328,0.1611,0.1914,0.1942,0.2645,0.2783,0.3566,0.4330,0.4507,0.4330,0.3566,0.2752,0.2817,0.2193,0.1759,0.2541,0.2849,0.2849,0.3704,0.3704,0.2541,0.1731,0.1671,0.1501,0.1162,0.0817,0.0765,0.0605,0.0676,0.0592,0.1048,0.1671,0.2094,0.1323,0.1137,0.1449,0.1373,0.1323,0.1373,0.1643,0.1162,0.1251,0.1671,0.2399,0.2884,0.3460,0.4119,0.3774,0.4292,0.4051,0.3117,0.3117,0.3286,0.3631,0.4619,0.5296,0.4725,0.4725,0.4619,0.4801,0.4582,0.5382,0.5951,0.6375,0.6806,0.6712,0.5992,0.5901,0.5296,0.5493,0.4619,0.5296,0.5296,0.4087,0.3182,0.3117,0.3053,0.3599,0.2884,0.2470,0.1611,0.1115,0.0568,0.0433,0.0240,0.0141,0.0130,0.0107,0.0107,0.0134,0.0087,0.0085,0.0068,0.0054,0.0058,0.0075,0.0078,0.0070,0.0076,0.0101,0.0088,0.0088,0.0109,0.0184,0.0320,0.0618,0.0780,0.0662,0.1092,0.1137,0.1323,0.1969,0.2884,0.3740,0.4507,0.5254,0.5419,0.4409,0.4292,0.4541,0.4292,0.5017,0.5992,0.5854,0.5707,0.5577,0.5665,0.6089,0.6183,0.5176,0.5342,0.4507,0.4582,0.4476,0.4864,0.4901,0.4017,0.4017,0.4441,0.4119,0.4149,0.3392,0.3529,0.3774,0.3019,0.3117,0.2680,0.2503,0.2752,0.3704,0.3566,0.2783,0.2988,0.2951,0.3053,0.1969,0.1184,0.1969,0.1852,0.2328,0.3053,0.2783,0.3566,0.2645,0.1611,0.2364,0.1969,0.2328,0.2364,0.2193,0.1298,0.1942,0.1702,0.2193,0.2224,0.2224,0.3087,0.4087,0.2988,0.3019,0.2988,0.2988,0.2988,0.2193,0.3249,0.4119,0.3426,0.3872,0.3053,0.3087,0.2292,0.3182,0.3019,0.3740,0.3566,0.3286,0.2988,0.2645,0.2364,0.3321,0.2918,0.2364
ExposeBuried	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SurfaceAccessbility	0.695,0.470,0.362,0.432,0.266,0.114,0.173,0.204,0.093,0.099,0.185,0.100,0.087,0.111,0.090,0.096,0.178,0.382,0.502,0.260,0.553,0.513,0.640,0.365,0.408,0.018,0.212,0.647,0.491,0.030,0.486,0.041,0.479,0.585,0.463,0.319,0.048,0.310,0.030,0.403,0.620,0.408,0.557,0.078,0.440,0.537,0.096,0.172,0.600,0.601,0.127,0.124,0.609,0.424,0.039,0.375,0.353,0.023,0.241,0.026,0.247,0.429,0.089,0.386,0.032,0.393,0.568,0.209,0.601,0.185,0.366,0.633,0.296,0.052,0.509,0.586,0.105,0.521,0.464,0.063,0.443,0.372,0.055,0.339,0.081,0.442,0.561,0.380,0.445,0.027,0.428,0.510,0.096,0.224,0.404,0.612,0.354,0.076,0.541,0.378,0.043,0.280,0.387,0.022,0.255,0.026,0.426,0.599,0.108,0.388,0.041,0.364,0.423,0.071,0.270,0.459,0.583,0.120,0.055,0.569,0.560,0.083,0.553,0.450,0.048,0.319,0.322,0.025,0.289,0.040,0.351,0.519,0.033,0.381,0.046,0.344,0.542,0.380,0.535,0.145,0.418,0.493,0.513,0.105,0.057,0.467,0.503,0.079,0.477,0.335,0.026,0.306,0.347,0.030,0.256,0.037,0.327,0.515,0.090,0.384,0.049,0.322,0.438,0.092,0.245,0.565,0.653,0.293,0.067,0.544,0.457,0.049,0.352,0.373,0.022,0.263,0.026,0.402,0.626,0.115,0.401,0.042,0.385,0.526,0.054,0.275,0.504,0.559,0.138,0.069,0.528,0.542,0.066,0.486,0.342,0.031,0.276,0.321,0.019,0.237,0.015,0.293,0.456,0.064,0.442,0.060,0.366,0.521,0.513,0.464,0.112,0.283,0.541,0.477,0.125,0.083,0.483,0.492,0.077,0.520,0.385,0.029,0.345,0.354,0.023,0.221,0.031,0.313,0.508,0.057,0.380,0.060,0.399,0.453,0.106,0.431,0.447,0.311,0.393,0.477,0.094,0.480,0.359,0.032,0.376,0.430,0.052,0.297,0.043,0.407,0.563,0.079,0.358,0.036,0.368,0.430,0.068,0.207,0.481,0.600,0.110,0.061,0.548,0.582,0.087,0.505,0.388,0.027,0.222,0.290,0.030,0.158,0.028,0.260,0.453,0.096,0.382,0.035,0.361,0.518,0.097,0.351,0.539,0.619,0.126,0.073,0.644,0.590,0.075,0.585,0.412,0.044,0.362,0.407,0.023,0.267,0.030,0.350,0.607,0.046,0.343,0.060,0.365,0.067,0.345,0.179,0.368,0.034,0.332,0.283,0.018,0.196,0.445,0.080,0.065,0.516,0.422,0.198,0.465,0.439,0.442,0.431,0.489,0.457,0.622,0.413,0.140,0.259,0.076,0.370,0.303,0.051,0.568,0.489,0.128,0.378,0.706,0.300,0.508,0.079,0.424,0.438,0.073,0.359,0.506,0.549,0.480,0.198,0.429,0.041,0.477,0.603,0.328,0.483,0.275,0.497,0.400,0.432,0.298,0.320,0.555,0.268,0.511,0.442,0.543,0.320,0.441,0.347,0.543,0.481,0.583,0.271,0.379,0.306,0.308,0.408,0.366,0.597,0.468,0.512,0.377,0.443,0.352,0.420,0.525,0.548,0.549,0.433,0.501,0.554,0.332,0.380,0.284,0.303,0.664,0.472,0.367,0.268,0.504,0.278,0.435,0.533,0.192,0.548,0.462,0.611,0.547,0.515,0.401,0.313,0.163,0.202,0.154,0.295,0.110,0.297,0.367,0.200,0.503,0.477,0.409,0.412,0.296,0.304,0.150,0.398,0.120,0.447,0.266,0.452,0.287,0.591,0.218,0.440,0.450,0.282,0.437,0.259,0.370,0.279,0.191,0.345,0.111,0.341,0.336,0.260,0.515,0.583,0.488,0.538,0.259,0.306,0.256,0.273,0.433,0.439,0.249,0.493,0.542,0.684,0.449,0.420,0.467,0.115,0.336,0.105,0.388,0.464,0.204,0.502,0.659,0.644,0.340,0.539,0.134,0.402,0.178,0.039,0.104,0.093,0.127,0.176,0.564,0.351,0.516,0.509,0.445,0.256,0.501,0.375,0.511,0.551,0.447,0.420,0.306,0.099,0.192,0.502,0.277,0.368,0.417,0.404,0.601,0.380,0.460,0.470,0.269,0.546,0.380,0.446,0.318,0.552,0.579,0.450,0.503,0.465,0.363,0.384,0.457,0.394,0.174,0.194,0.273,0.193,0.070,0.208,0.154,0.069,0.109,0.178,0.128,0.149,0.193,0.140,0.164,0.150,0.181,0.130,0.122,0.113,0.104,0.068,0.076,0.056,0.044,0.073,0.077,0.282,0.202,0.299,0.448,0.664,0.405,0.489,0.369,0.358,0.435,0.381,0.422,0.304,0.592,0.440,0.353,0.596,0.614,0.321,0.514,0.540,0.376,0.331,0.504,0.279,0.190,0.576,0.313,0.203,0.399,0.591,0.457,0.608,0.482,0.250,0.256,0.456,0.529,0.181,0.597,0.608,0.474,0.516,0.198,0.511,0.406,0.106,0.466,0.224,0.361,0.571,0.531,0.357,0.366,0.450,0.618,0.475,0.125,0.260,0.354,0.277,0.386,0.154,0.215,0.198,0.456,0.586,0.315,0.404,0.482,0.376,0.208,0.559,0.529,0.259,0.344,0.565,0.413,0.509,0.529,0.448,0.502,0.380,0.272,0.398,0.232,0.309,0.636,0.556,0.617,0.270,0.429,0.547,0.348,0.650,0.439,0.385,0.495,0.840
SecondStructure	C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,B,C,C,C,A,A,A,A,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,C,B,B,C,C,C,C,B,B,B,B,B,B,B,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,C,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C
